Name;Alternativname;Höhe;SAC-Sektion;Schlafplätze;Schutzraum;Ein­wei­hung;Kanton;Kommentar;Typ;Extrainfos
Aarbiwak;;2731;Pilatus;17;17;1976;Bern;;SAC-Hütte;"{{Coordinate|NS=46.555648|EW=8.15221|type=mountain|sortkey=NS|elevation=2731|region=CH-BE|text=ICON2|name=Aarbiwak}}&nbsp;&#124;&nbsp;"
Adulahütte;Capanna Adula CAS;2012;Tessin;30;11;1924;Tessin;;SAC-Hütte;"{{Coordinate|NS=46/29/57.1|EW=8/59/44.2|type=mountain|sortkey=NS|elevation=2012|region=CH-TI|text=ICON2|name=Adulahütte}}&nbsp;&#124;&nbsp;"
Aiguillette à la Singla-Biwak;Bivouac de l’Aiguillette à la Singla;3179;Chasseron;12;12;1970;Wallis;;SAC-Hütte;"{{Coordinate|NS=45.94148|EW=7.45416|type=mountain|sortkey=NS|elevation=3179|region=CH-VS|text=ICON2|name=Aiguillette à la Singla Biwak}}&nbsp;&#124;&nbsp;"
Albert-Heim-Hütte;;2542;Uto;64;8;1918;Uri;;SAC-Hütte;"{{Coordinate|NS=46.608961|EW=8.463585|type=mountain|sortkey=NS|elevation=2543|region=CH-UR|text=ICON2|name=Albert Heim Hütte}}&nbsp;&#124;&nbsp;"
Albignahütte;Capanna da l'Albigna;2336;Hoher Rohn;94;14;1956;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.33000|EW=9.65518|type=mountain|sortkey=NS|elevation=2336|region=CH-GR|text=ICON2|name=Albignahütte}}&nbsp;&#124;&nbsp;"
Almagellerhütte;;2894;Niesen;120;9;1984;Wallis;;SAC-Hütte;"{{Coordinate|NS=46/6/27|EW=8/0/27.5|type=mountain|sortkey=NS|elevation=2894|region=CH-VS|text=ICON2|name=Almagellerhütte}}&nbsp;&#124;&nbsp;"
Alzascahütte;Capanna Alzasca;1734;Locarno;12;6;1935;Tessin;;SAC-Hütte;"{{Coordinate|NS=46.27135|EW=8.58927|type=mountain|sortkey=NS|elevation=1734|region=CH-TI|text=ICON2|name=Alzascahütte}}&nbsp;&#124;&nbsp;"
Arbenbiwak;;3225;Zermatt;15;15;1977;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.03137|EW=7.66504|type=mountain|sortkey=NS|elevation=3225|region=CH-VS|text=ICON2|name=Arbenbiwak}}&nbsp;&#124;&nbsp;"
Arpitettazhütte;Cabane d’Arpitettaz;2786;La Dôle;32;20;1953;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.10091|EW=7.67928|type=mountain|sortkey=NS|elevation=2786|region=CH-VS|text=ICON2|name=Arpitettazhütte}}&nbsp;&#124;&nbsp;"
Bächlitalhütte;;2328;Am Albis;75;24;1964;Bern;;SAC-Hütte;"{{Coordinate|NS=46.58699|EW=8.28262|type=mountain|sortkey=NS|elevation=1734|region=CH-BE|text=ICON2|name=Bächlitalhütte}}&nbsp;&#124;&nbsp;"
Balmhornhütte;;1956;Altels;24;8;1902;Bern;;SAC-Hütte;"{{Coordinate|NS=46.45120|EW=7.68965|type=mountain|sortkey=NS|elevation=1955|region=CH-BE|text=ICON2|name=Balmhornhütte}}&nbsp;&#124;&nbsp;"
Baltschiederklause;;2783;Blümlisalp;71;12;1922;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.39500|EW=7.88982|type=mountain|sortkey=NS|elevation=2783|region=CH-VS|text=ICON2|name=Baltschiederklause}}&nbsp;&#124;&nbsp;"
Basodinohütte;Capanna Basodino (Robiei);1856;Locarno;48;12;1927;Tessin;;SAC-Hütte;"{{Coordinate|NS=46.43954|EW=8.51404|type=mountain|sortkey=NS|elevation=1856|region=CH-TI|text=ICON2|name=Basodinohütte}}&nbsp;&#124;&nbsp;"
Berglihütte;;3299;Grindelwald;20;20;1869;Bern;;SAC-Hütte;"{{Coordinate|NS=46.56682|EW=8.02055|type=mountain|sortkey=NS|elevation=3299|region=CH-BE|text=ICON2|name=Berglihütte}}&nbsp;&#124;&nbsp;"
Bergseehütte;;2370;Angenstein;70;14;1965;Uri;;SAC-Hütte;"{{Coordinate|NS=46.65739|EW=8.48494|type=mountain|sortkey=NS|elevation=3299|region=CH-UR|text=ICON2|name=Bergseehütte}}&nbsp;&#124;&nbsp;"
Bertolhütte;Cabane de Bertol;3311;Neuchâtel;80;16;1976;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.00608|EW=7.52768|type=mountain|sortkey=NS|elevation=3311|region=CH-VS|text=ICON2|name=Bertolhütte}}&nbsp;&#124;&nbsp;"
Binntalhütte;;2267;Delémont;50;36;1942;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.374633|EW=8.291884|type=mountain|sortkey=NS|elevation=2275|region=CH-VS|text=ICON2|name=Binntalhütte}}&nbsp;&#124;&nbsp;"
Blüemlisalphütte;;2840;Blümlisalp;124;18;1947;Bern;;SAC-Hütte;"{{Coordinate|NS=46.51017|EW=7.77162|type=mountain|sortkey=NS|elevation=2834|region=CH-BE|text=ICON2|name=Blüemlisalphütte}}&nbsp;&#124;&nbsp;"
