Nummer,Name,Start,Ziel,Etappen,KM,HM,Abstieg,Höchster Punkt,Tiefster Punkt,Typ
1,Via Alpina,"Vaduz (Gaflei, FL)",Montreux,20,390,23500,24800,2778,375,National
2,Trans Swiss Trail,Porrentruy,Mendrisio,32,510,17800,17900,2109,222,National
3,Alpenpanorama-Weg,Rorschach,Genève,29,510,17800,17800,1658,395,National
4,ViaJacobi,Rorschach- / Konstanz (D),Genève (Grenze),33,645,17500,16900,1414,372,National
5,Jura-Höhenweg,Dielsdorf,Nyon,16,320,13900,13900,1679,332,National
6,Alpenpässe-Weg,"St. Moritz, Corviglia",St-Gingolph,43,695,47100,49200,2983,815,National
7,ViaGottardo,Basel,Chiasso,20,330,10300,10300,2109,222,National
22,Kulturspur Appenzellerland,Urnäsch,Walzenhausen,6,71,3300,3400,,,Regional
23,Senda ScuolSamnaun,Scuol,Samnaun,2,37,2300,1750,,,Regional
24,Thurweg,"Wildhaus, Gamplüt",Rüdlingen,8,160,1900,2900,,,Regional
25,Senda Segantini,Savognin,Muottas Muragl,4,74,4100,2800,,,Regional
26,Panorama Rundweg Thunersee,Thun,Thun,4,63,2200,2200,,,Regional
27,Swiss Tour Monte Rosa,Saas Fee,Zermatt,3,56,4000,4200,,,Regional
29,Pragelpass-Weg,Schwyz,Glarus,3,48,1600,1650,,,Regional
30,ViaValtellina,Gargellen (A),Tirano (I),8,135,7000,8000,,,Regional
31,Chemin du Jura,Delémont,PorrentruySt-UrsanneSaignelégier,5,94,3200,2600,,,Regional
32,ViaSurprise,Dornach,Dornach,6,88,3500,3500,,,Regional
33,Via Albula/Bernina,Thusis,Tirano (I),10,130,5100,5400,,,Regional
34,Klettgau-Rhein-Weg,Hallau,Schaffhausen,2,46,1450,1450,,,Regional
35,Walserweg,San Bernardino,Brand (A),19,320,19600,20200,,,Regional
36,Chemin du vignoble,Martigny,Leuk,4,65,2400,2300,,,Regional
38,ViaBerna,Bellelay,Sustenpass,20,305,13700,12400,,,Regional
39,Aletsch Panoramaweg,"Blatten, Belalp",Bellwald,3,30,1850,2400,,,Regional
40,ViaSbrinz,Stansstad,Ponte (I),5,115,6300,5400,,,Regional
42,Aargauer Weg,Frick,Muri AG,6,105,2700,2600,,,Regional
43,Jakobsweg Graubünden,Müstair,Oberalppass,18,260,11100,10300,,,Regional
44,Appenzeller Weg,Rankweil (A),St. Peterzell,3,52,1550,1300,,,Regional
45,Nationalpark-Panoramaweg,"Sent, Sur En",Lavin,7,105,7300,7000,,,Regional
46,Tour des Alpes Vaudoises,Aigle,Château-d'OexLes DiableretsAigle,8,130,7400,7400,,,Regional
47,Zürich-Zugerland-Panoramaweg,Zürich (Triemli),Zug,2,34,1050,1150,,,Regional
48,Toggenburger Höhenweg,Wildhaus,Wil SG,6,88,4300,4800,,,Regional
